company_name,industry,main_products
그래피,합성고무 및 플라스틱 물질 제조업,"형상기억 투명교정장치, 3D프린팅 소재, 질소경화기 등"
애드포러스,광고업,모바일 광고 플랫폼
삼성스팩10호,금융 지원 서비스업,기업인수합병
제이피아이헬스케어,의료용 기기 제조업,"X-ray Grid, 의료영상기기 등"
한라캐스트,자동차 신품 부품 제조업,"마그네슘 및 알루미늄 다이캐스팅 제품(차량, 가전용 경량화 소재 부품)"
에스엔시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","파워솔루션, 에코솔루션, 운항제어솔루션, MRO 솔루션"
삼양컴텍,무기 및 총포탄 제조업,"방위산업방탄제품(K-SAP, 유리섬유제품, 방탄헬멧, 위장망, 방탄복), 항공기부품 제조, 도매, 무역"
교보18호스팩,금융 지원 서비스업,기업인수합병
지투지바이오,의약품 제조업,장기 약효지속성 주사제 개발
아이티켐,기초 의약물질 제조업,"원료의약품, 의약품중간체 및 전자재료 등"
하나35호스팩,금융 지원 서비스업,기업인수합병
대한조선,선박 및 보트 건조업,선박 및 보트 건조업
프로티나,자연과학 및 공학 연구개발업,단백질간 상호작용 바이오마커 개발 및 분석서비스
엔알비,기타 금속 가공제품 제조업,이동형 모듈러 임대 및 판매
뉴로핏,소프트웨어 개발 및 공급업,"Neurophet AQUA, Neurophet Scale PET, Neurophet AQUA AD"
도우인시스,전자부품 제조업,초박형 유리(UTG)
디비금융제14호스팩,기타 금융업,기업인수목적회사
엘에스스팩1호,금융 지원 서비스업,기업인수합병
아우토크립트,소프트웨어 개발 및 공급업,자동차 사이버보안 소프트웨어 및 솔루션
대신밸류리츠,신탁업 및 집합투자업,부동산 임대
뉴키즈온,봉제의복 제조업,유아동용 의복
싸이닉솔루션,반도체 제조업,"ASIC, ASSP, 용역, 상품 등"
KB제32호스팩,금융 지원 서비스업,기업인수합병
뉴엔AI,소프트웨어 개발 및 공급업,AI 빅데이터 분석 플랫폼
지에프씨생명과학,기타 화학제품 제조업,"마이크로바이옴, 엑소좀 기반 바이오 소재"
케이지에이,특수 목적용 기계 제조업,"2차전지 전극장비 (코터, 프레스, 슬리터), 덕트자동화 장비"
지씨지놈,"그외 기타 전문, 과학 및 기술 서비스업","G-NIPT, 아이캔서치, 암패널, 희귀패널 등"
링크솔루션,특수 목적용 기계 제조업,3D 프린터 및 3D 프린팅 서비스
키스트론,절연선 및 케이블 제조업,"전자부품용 와이어, 케이블용 와이어 등"
신한제16호스팩,금융 지원 서비스업,기타금융서비스(기업합병)
인투셀,자연과학 및 공학 연구개발업,ADC 링커/톡신 플랫폼 기술
달바글로벌,기타 화학제품 제조업,"기초 화장품, 건강기능식품 등"
바이오비쥬,기타 화학제품 제조업,스킨부스터 제품 및 필러
이뮨온시아,자연과학 및 공학 연구개발업,면역항암제 신약개발
바이오포트,기타 식품 제조업,"후라이드오징어튀김, 유자생강차 등 스낵 및 음료"
티씨머티리얼즈,절연선 및 케이블 제조업,"에나멜동선, 초고압케이블, 각동선, CTC 등"
로킷헬스케어,의료용품 및 기타 의약 관련제품 제조업,장기 재생 플랫폼
오가노이드사이언스,자연과학 및 공학 연구개발업,"오가노이드 기반 재생치료제, 오가노이드 기반 신소재평가 솔루션"
원일티엔아이,일반 목적용 기계 제조업,"수소저장합금, 고압연소식기화기"
나우로보틱스,특수 목적용 기계 제조업,산업용로봇 및 로봇자동화시스템
에이아이코리아,특수 목적용 기계 제조업,"2차전지 중앙 전해액 공급시스템(CESS), 프로세스파이핑, 건식세정장비"
쎄크,일반 목적용 기계 제조업,"X-ray 검사장비, LINAC, Tabletop SEM"
한국피아이엠,자동차 신품 부품 제조업,"내연기관 부품(터보차저, DCT변속기), IT 부품(스마트워치/스마트링), 자율주행 부품(카메라 모듈 케이스)"
에이유브랜즈,"섬유, 의복, 신발 및 가죽제품 소매업","레인부츠, 스니커즈, 겨울화, 패션잡화 등"
우양에이치씨,"구조용 금속제품, 탱크 및 증기발생기 제조업","화공 플랜트, 에너지 플랜트"
더즌,전기 통신업,디지털뱅킹 솔루션(B2B 금융 서비스)
심플랫폼,소프트웨어 개발 및 공급업,NUBISON AIoT(산업용 데이터 수집과 산업용 AI서비스 운영)
티엑스알로보틱스,일반 목적용 기계 제조업,"물류자동화, 로봇자동화, AMR/AGV"
한텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","열교환기 등 화공기기, 저장용 탱크"
한화플러스제5호스팩,금융 지원 서비스업,-
씨케이솔루션,일반 목적용 기계 제조업,"드라이룸/클린룸 등 건물용 기계, 장비 설치 공사업"
서울보증보험,보험업,"보증보험, 신용보험 등"
에스엠씨지,유리 및 유리제품 제조업,화장품 유리용기
엠디바이스,전자부품 제조업,반도체기억장치
대진첨단소재,플라스틱제품 제조업,"이차전지 공정용 대전방지트레이, 대전방지코팅액, 이차전지용 PET이형필름"
에르코스,도시락 및 식사용 조리식품 제조업,"영유아식, 고령친화식품, 식물기반 대체식품"
엘케이켐,기타 화학제품 제조업,"반도체 소재(CP, PCP, DIS) 등"
위너스일렉,기타 전기장비 제조업,"배선기구(스위치, 콘센트, 멀티탭), 전기차 충전기(급속, 완속)"
모티브링크,전자부품 제조업,"EV용 Main Transformer, EV용 Line Filter"
동국생명과학,의약품 제조업,"조영제 완제 및 원료, 의료기기 유통"
오름테라퓨틱,기초 의약물질 제조업,항체약물접합체(ADC) 단백질 분해제(TPD) 연구 개발
동방메디컬,의료용 기기 제조업,"필러, 한방침"
아이에스티이,반도체 제조업,반도체 제조용 장비
LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업"
아이지넷,기타 정보 서비스업,"보험 서비스 어플리케이션, 기업용 보험 솔루션"
피아이이,특수 목적용 기계 제조업,AI 비전 솔루션 및 스마트팩토리 솔루션
삼양엔씨켐,기타 화학제품 제조업,"반도체 포토레지스트용 기초화합물(KrF PR용 소재, ArF PR용 소재, Wet Chemical)"
데이원컴퍼니,기타 교육기관,성인대상 교육서비스
아스테라시스,의료용 기기 제조업,"피부 미용의료기기 제조, 판매"
와이즈넛,소프트웨어 개발 및 공급업,"검색엔진, 챗봇, 클라우드서비스"
미트박스,기타 정보 서비스업,축산물 도소매 판매 및 중개
유안타제17호스팩,금융 지원 서비스업,금융 지원 서비스업
블랙야크아이앤씨,신발 및 신발 부분품 제조업,"산업용 안전화, 안전복 및 안전용품"
오션스바이오,의료용 기기 제조업,전자약
엠에프씨,기초 의약물질 제조업,원료의약품(API) 및 핵심소재
파인메딕스,의료용 기기 제조업,"인젝터, 스네어, 나이프, 포셉 등 내시경용 시술기구"
쓰리에이로직스,반도체 제조업,NFC/IoT SoC 및 모듈
GS피앤엘,기타 금융업,지주회사
신한제14호스팩,금융 지원 서비스업,금융 지원 서비스업
유비씨,소프트웨어 개발 및 공급업,"디지털트윈 구현 플랫폼(Flexing CPS, Flexing DT 등)"
듀켐바이오,의약품 제조업,방사성의약품
키움제10호스팩,금융 지원 서비스업,기업 인수합병
에스지헬스케어,의료용 기기 제조업,의료용 영상진단기기
온코닉테라퓨틱스,자연과학 및 공학 연구개발업,"자큐보정(Zastaprazan, 소화기질환 신약), Nesuparib(표적항암제 신약)"
온코크로스,자연과학 및 공학 연구개발업,AI플랫폼 기반 신약개발 용역서비스
벡트,영상 및 음향기기 제조업,"프로젝터, 전자칠판, 전자교탁 및 관련 영상 소프트웨어, 콘텐츠 등"
